CVE ID,Description,CVSS Score,Attack Vector,Affected OS,Severity,Vulnerability_Type,Attack_Vector_Type,CVE_Year,Description_Length,Cleaned_Description,Original_Length,Cleaned_Length,Reduction_Pct,Top_Keywords,Summary,Alert,Orig_Len,Summary_Len,Compression_Ratio
CVE-2024-21732,FlyCms through abbaa5a allows XSS via the permission management feature.,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,Medium,Cross-Site Scripting (XSS),Network,2024.0,72,flycms abbaa allows xss via permission management feature,72,57,20.8,"flycms, allows xss, xss via, feature, permission",FlyCms through abbaa5a allows XSS via the permission management feature.,"CVE Alert: Medium Cross-Site Scripting (XSS) vulnerability
CVE ID: CVE-2024-21732 | CVSS: 6.1

Summary: FlyCms through abbaa5a allows XSS via the permission management feature.

Recommended Action: Schedule patching within the next maintenance window.",72,72,1.0
CVE-2023-5877,"The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint, allowing unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses, leading to a Server Side Request Forgery (SSRF) issue.",9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,Critical,SSRF,Network,2023.0,339,affiliate toolkit wordpress plugin VERSION lack authorization authentication request affiliate toolkit starter tool atkp imagereceiver php endpoint allowing unauthenticated visitor make request arbitrary url including rfc private address leading server side request forgery ssrf issue,339,284,16.2,"affiliate, ssrf issue, rfc, visitor, forgery ssrf","The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate- toolkit-starter/tools/atkp_imagereceiver.php endpoint. This allows unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses.","CVE Alert: Critical SSRF vulnerability
CVE ID: CVE-2023-5877 | CVSS: 9.8

Summary: The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate- toolkit-starter/tools/atkp_imagereceiver.php endpoint. This allows unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses.

Recommended Action: Patch immediately. Isolate affected systems.",339,288,0.8495575221238938
CVE-2023-6000,"The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript in them, which could lead to Stored XSS attacks.",6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,Medium,Cross-Site Scripting (XSS),Network,2023.0,189,popup builder wordpress plugin VERSION prevent simple visitor updating existing popups injecting raw javascript could lead stored xss attack,189,140,25.9,"popup builder, lead stored, injecting, visitor, raw","The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript. This could lead to Stored XSS attacks.","CVE Alert: Medium Cross-Site Scripting (XSS) vulnerability
CVE ID: CVE-2023-6000 | CVSS: 6.1

Summary: The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript. This could lead to Stored XSS attacks.

Recommended Action: Schedule patching within the next maintenance window.",189,180,0.9523809523809523
CVE-2023-6037,"The WP TripAdvisor Review Slider WordPress plugin before 11.9 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks even when the unfiltered_html capability is disallowed (for example in multisite setup)",4.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,,Medium,Cross-Site Scripting (XSS),Network,2023.0,300,tripadvisor review slider wordpress plugin sanitise escape setting could allow high privilege user admin perform stored cross site scripting attack even unfiltered html capability disallowed example multisite setup,300,214,28.7,"plugin sanitise, slider, disallowed example, capability disallowed, html capability",WP TripAdvisor Review Slider plugin before 11.9 does not sanitise and escape some of its settings. This could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks.,"CVE Alert: Medium Cross-Site Scripting (XSS) vulnerability
CVE ID: CVE-2023-6037 | CVSS: 4.8

Summary: WP TripAdvisor Review Slider plugin before 11.9 does not sanitise and escape some of its settings. This could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks.

Recommended Action: Schedule patching within the next maintenance window.",300,198,0.66
CVE-2023-6064,The PayHere Payment Gateway WordPress plugin before 2.2.12 automatically creates publicly-accessible log files containing sensitive information when transactions occur.,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,High,Information Disclosure,Network,2023.0,168,payhere payment gateway wordpress plugin VERSION automatically creates publicly accessible log file containing sensitive information transaction occur,168,150,10.7,"automatically, containing sensitive, file containing, publicly accessible, payment gateway",PayHere Payment Gateway plugin before 2.2.12 automatically creates publicly-accessible log files containing sensitive information when transactions occur.,"CVE Alert: High Information Disclosure vulnerability
CVE ID: CVE-2023-6064 | CVSS: 7.5

Summary: PayHere Payment Gateway plugin before 2.2.12 automatically creates publicly-accessible log files containing sensitive information when transactions occur.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",168,154,0.9166666666666666
CVE-2023-6113,"The WP STAGING WordPress Backup Plugin before 3.1.3 and WP STAGING Pro WordPress Backup Plugin before 5.1.3 do not prevent visitors from leaking key information about ongoing backups processes, allowing unauthenticated attackers to download said backups later.",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,High,Other,Network,2023.0,260,staging wordpress backup plugin VERSION staging pro wordpress backup plugin VERSION prevent visitor leaking key information ongoing backup process allowing unauthenticated attacker download said backup later,260,207,20.4,"backup, plugin version, leaking, ongoing, visitor",WP STAGING WordPress Backup plugin before 3.1.3 does not prevent visitors from leaking key information about ongoing backups processes. Unauthenticated attackers can download said backups later.,"CVE Alert: High Other vulnerability
CVE ID: CVE-2023-6113 | CVSS: 7.5

Summary: WP STAGING WordPress Backup plugin before 3.1.3 does not prevent visitors from leaking key information about ongoing backups processes. Unauthenticated attackers can download said backups later.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",260,194,0.7461538461538462
CVE-2023-6271,"The Backup Migration WordPress plugin before 1.3.6 stores in-progress backups information in easy to find, publicly-accessible files, which may allow attackers monitoring those to leak sensitive information from the site's backups.",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,High,Information Disclosure,Network,2023.0,231,backup migration wordpress plugin VERSION store progress backup information easy find publicly accessible file may allow attacker monitoring leak sensitive information site backup,231,179,22.5,"backup, store progress, progress backup, monitoring, find","The Backup Migration WordPress plugin before 1.3.6 stores in-progress backups information in easy to find, publicly-accessible files. This may allow attackers monitoring those to leak sensitive information from the site's backups.","CVE Alert: High Information Disclosure vulnerability
CVE ID: CVE-2023-6271 | CVSS: 7.5

Summary: The Backup Migration WordPress plugin before 1.3.6 stores in-progress backups information in easy to find, publicly-accessible files. This may allow attackers monitoring those to leak sensitive information from the site's backups.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",231,230,0.9956709956709957
CVE-2023-6421,"The Download Manager WordPress plugin before 3.2.83 does not protect file download's passwords, leaking it upon receiving an invalid one.",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,High,Other,Network,2023.0,137,download manager wordpress plugin VERSION protect file download password leaking upon receiving invalid one,137,107,21.9,"download, leaking, manager wordpress, upon, download manager","The Download Manager WordPress plugin before 3.2.83 does not protect file download's passwords, leaking it upon receiving an invalid one.","CVE Alert: High Other vulnerability
CVE ID: CVE-2023-6421 | CVSS: 7.5

Summary: The Download Manager WordPress plugin before 3.2.83 does not protect file download's passwords, leaking it upon receiving an invalid one.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",137,137,1.0
CVE-2023-6485,"The Html5 Video Player WordPress plugin before 2.5.19 does not sanitise and escape some of its player settings, which combined with missing capability checks around the plugin could allow any authenticated users, such as low as subscribers to perform Stored Cross-Site Scripting attacks against high privilege users like admins",5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,Medium,Cross-Site Scripting (XSS),Network,2023.0,327,html video player wordpress plugin VERSION sanitise escape player setting combined missing capability check around plugin could allow authenticated user low subscriber perform stored cross site scripting attack high privilege user like admins,327,242,26.0,"player, user low, admins, around, perform stored",The Html5 Video Player WordPress plugin before 2.5.19 does not sanitise and escape some of its player settings. This combined with missing capability checks around the plugin could allow any authenticated users to perform Stored Cross-Site Scripting attacks.,"CVE Alert: Medium Cross-Site Scripting (XSS) vulnerability
CVE ID: CVE-2023-6485 | CVSS: 5.4

Summary: The Html5 Video Player WordPress plugin before 2.5.19 does not sanitise and escape some of its player settings. This combined with missing capability checks around the plugin could allow any authenticated users to perform Stored Cross-Site Scripting attacks.

Recommended Action: Schedule patching within the next maintenance window.",327,258,0.7889908256880734
CVE-2024-0181,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. The manipulation of the argument Firstname/Lastname/Username leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249433 was assigned to this vulnerability.,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,485,vulnerability found rrj nueva ecija engineer online portal declared problematic affected vulnerability unknown functionality file admin admin user php component admin panel manipulation argument firstname lastname username lead cross site scripting attack launched remotely exploit disclosed public may used identifier vdb assigned vulnerability,485,345,28.9,"admin, admin admin, admin panel, panel manipulation, argument firstname",Vulnerability found in RRJ Nueva Ecija Engineer Online Portal 1.0. Affected by an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. manipulation of the argument Firstname/Lastname/Username leads to cross site scripting.,"CVE Alert: Low Other vulnerability
CVE ID: CVE-2024-0181 | CVSS: 2.4

Summary: Vulnerability found in RRJ Nueva Ecija Engineer Online Portal 1.0. Affected by an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. manipulation of the argument Firstname/Lastname/Username leads to cross site scripting.

Recommended Action: Apply patches during routine maintenance.",485,255,0.5257731958762887
